participant_id,response_time_bar_geo,response_time_bar_icon,response_time_bar_color,response_time_pie_geo,response_time_pie_icon,response_time_pie_color
614b55e22ff3944a165736bb,1889.1,1637.2105263157894,1672.95,,,
612bdeaaaf02651ea655d21a,,,,2919.2631578947367,2777.8888888888887,3064.8947368421054
5a520774eedc3200014206b4,2465.0,2384.75,2518.75,,,
5d8e2069ab10e2001f1e9fb8,2733.9,2460.7,2663.4210526315787,,,
60109112b98c813e364bc621,,,,2441.7,2612.5,2483.8
60febbf6684ed23d1eec2db6,2561.2,2754.1052631578946,2442.95,,,
60ce30df032ca7cfb03900bc,,,,3108.8947368421054,3038.842105263158,2978.55
603d7ba0ecb86cc51ed2e12c,2442.45,2398.55,2431.8,,,
616b06e97addc4a9a638909e,2719.6,2751.0,2286.0,,,
63965e964a5ee55f85d43a30,,,,2713.0,2487.3,2357.95
5d66f23706e589000157e7ec,2417.4444444444443,2476.15,1882.9,,,
5fdbd196dfcbb90c5af649f5,,,,2295.15,2224.75,2519.85
5f6b8c1f5622370b0c94d597,2415.842105263158,2721.0,2296.75,,,
5f761e5106b786071f45b4aa,2041.65,2054.25,1999.75,,,
60f364780342181eb49b70d7,1971.7894736842106,2345.45,1942.55,,,
5dee896cf87f5552d3cd6502,,,,2739.7894736842104,2246.4210526315787,2760.7894736842104
613800d38b430814dc455213,,,,1463.4,1943.3,1892.2
64157c7105837695ad52b091,,,,2312.65,2897.4,2557.25
5ee3c6f7232e9d094c4ae6fa,,,,2655.5789473684213,3167.315789473684,2827.15
5f9ce576aa0c561f3011d587,,,,2590.55,2845.8,2771.1
6413aca799ead1ffdc45e3a0,,,,2688.8,3001.3684210526317,3109.157894736842
5f5809a4352ec4366bb451ef,2541.35,2307.55,2240.2,,,
5f69e356d68b93020e622bf2,2100.25,2213.4,2274.2,,,
611167ed8d09c1e0fdd862c2,,,,2695.75,3550.9473684210525,2691.5
5f1f5fe94154031594d4e345,,,,2606.15,3021.5,2903.6
60a2c7d2f13744a90856149c,,,,1883.45,2171.4,2094.5
5e7356af75224a000cca14a1,,,,2526.55,2701.15,2383.3684210526317
5e89ba09ec9b3364b1fc0bd1,,,,2819.277777777778,3132.45,3313.1
6393fc93a0aea03630708b06,1935.7,2228.3684210526317,2166.25,,,
5cdeaeb3557fbd00018a2c59,,,,2238.8,2691.35,2619.0
60fbc53a81120344612e0d08,,,,896.8,1080.9473684210527,675.45
5b232f6838fc0c000131438c,,,,3339.45,3348.842105263158,3119.4736842105262
5b8c8e7d0c740e00019d55c3,2912.5263157894738,3069.5555555555557,2225.25,,,
615f04836985bb3ce5815f3c,,,,3450.315789473684,3356.7368421052633,3164.65
5f983fad466c460c50a7889f,,,,2580.9,2981.6,2515.85
5fb65ad58d6ec70008c4ee34,2564.5,2610.55,2400.9473684210525,,,
63fc9ac5b3caf86d29e7b736,2349.05,2378.25,2541.45,,,
6169e8a8311d269013eb73c7,,,,2806.8888888888887,3155.7,2841.95
5bdf91dbb32fa800012ea282,3249.0,3387.5263157894738,3135.75,,,
5fada668f8a0961779aa778b,,,,2372.5,2631.2,2622.1
6150800cd708e322d6c918f6,1665.6,2335.15,1407.3,,,
5d6e3252dfe6d10001dbe508,3036.3,2285.8947368421054,2566.7,,,
5e7a5584718c83035a42519c,2214.6,2666.4210526315787,2270.55,,,
60b7959cedd10f9211decf60,,,,1971.45,2636.9,2370.05
5fc26d71c9e79a327ac24f7f,,,,1334.25,2573.6,1828.05
63ef938aea545fb9bd19a591,,,,3081.0,2609.15,2308.65
610cda1332fb63830158c55d,,,,3154.25,3279.222222222222,3153.3
5eff9162a78aa106ea6a36ec,,,,2316.35,2292.85,2255.3
55c15819fdf99b6aa2cb9713,1948.6,2077.9,1990.85,,,
5f1ebb596e8cd90009611d6b,2174.25,2900.4736842105262,2343.15,,,
60d0d3e7e4d728de23952f2a,,,,1981.55,2461.65,2707.7
5edeea354d54cb1a825aa8f9,,,,2030.6,1988.85,1893.05
613a63cc5655865c920adb38,1060.7,1658.55,1468.15,,,
61524134790f9a1cd758817c,,,,2596.15,2797.4444444444443,2662.3
