Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
640cfaae8dd3cf77266ce664,d067a0b6-79a5-4f32-a28d-1fe7488eb1ff,APPROVED,2023-03-11T22:03:26.084000Z,2023-03-11T22:15:34.112000Z,2023-03-11T22:15:34.589000,2023-03-11T22:15:34.512655Z,729,C18N4HK9,328,"Polish, English",22,Female,White,Poland,Poland,Poland,Polish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
640cfbf8acc6bf8553c9472e,b6ef9081-9c03-4d37-b641-f63cf4a6c312,APPROVED,2023-03-11T22:08:59.610000Z,2023-03-11T22:19:05.699000Z,2023-03-11T22:19:06.259000,2023-03-11T22:19:06.191003Z,607,C18N4HK9,110,"Hindi, Gujarati, English, Urdu",29,Male,Asian,India,United Kingdom,India,English,No,Part-Time
640cfbf9062be5d117a554ec,506757ad-4432-41bb-bc43-8ccfce221b87,APPROVED,2023-03-11T22:09:21.642000Z,2023-03-11T22:25:26.659000Z,2023-03-11T22:25:27.313000,2023-03-11T22:25:27.238214Z,966,C18N4HK9,51,English,32,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
640cfc0107aa636576ef936c,2fd9acd2-ff94-475b-89d8-6bcf43e06f64,APPROVED,2023-03-11T22:09:05.829000Z,2023-03-11T22:19:25.167000Z,2023-03-11T22:19:26.059000,2023-03-11T22:19:25.992324Z,620,C18N4HK9,295,"English, French, Italian, Polish, Spanish",28,Female,White,Poland,Spain,Poland,Polish,Yes,Unemployed (and job seeking)
640cfc0390f8e43777a554c8,7773a70c-8f71-46c0-abbf-7e6957ee4252,APPROVED,2023-03-11T22:09:07.803000Z,2023-03-11T22:24:57.987000Z,2023-03-11T22:24:58.476000,2023-03-11T22:24:58.409331Z,951,C18N4HK9,227,English,20,Female,White,Poland,Poland,Poland,Polish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
640cfc34568fd33cae56a465,8ae66fa0-a4e2-4ae8-8d2c-421441330881,APPROVED,2023-03-11T22:10:01.821000Z,2023-03-11T22:24:37.122000Z,2023-03-11T22:24:37.668000,2023-03-11T22:24:37.602816Z,876,C18N4HK9,484,"Portuguese, English",59,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
640d02a761ff9ee15e9d4e0e,d5ed18d2-db6c-466e-b7a2-8944bda53832,APPROVED,2023-03-11T22:38:14.071000Z,2023-03-11T23:01:19.885000Z,2023-03-11T23:01:20.325000,2023-03-11T23:01:20.264452Z,1386,C18N4HK9,62,"English, Slovenian",20,Female,White,Slovenia,Slovenia,Slovenia,Slovenian,Yes,Other
640d02b82a726c7fa46ce6a2,e6624cd6-c7d8-4630-b501-a783d5be6ef7,APPROVED,2023-03-11T22:37:44.775000Z,2023-03-11T22:44:47.524000Z,2023-03-11T22:44:47.943000,2023-03-11T22:44:47.883267Z,423,C18N4HK9,122,English,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
640d02c5fd172818afe54637,289ff773-3341-438d-9d4a-ae0067eecdaa,APPROVED,2023-03-11T22:37:57.100000Z,2023-03-11T22:44:19.832000Z,2023-03-11T22:44:20.321000,2023-03-11T22:44:20.260539Z,383,C18N4HK9,205,"Polish, English",24,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
640d02c6e2dc91f8524c7a41,2ebd2f6b-4e6e-40a5-8bb1-333a5f8ad440,APPROVED,2023-03-11T22:37:58.978000Z,2023-03-11T22:55:33.692000Z,2023-03-11T22:55:34.179000,2023-03-11T22:55:34.101832Z,1055,C18N4HK9,242,"English, Portuguese",24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
640d02dfadb23d2adb4dd0aa,ff9cd6aa-0fa4-48fe-a506-44ed0c1cb7b9,APPROVED,2023-03-11T22:38:28.098000Z,2023-03-11T22:51:08.945000Z,2023-03-11T22:51:09.404000,2023-03-11T22:51:09.333021Z,761,C18N4HK9,73,"English, Spanish",31,Male,White,Argentina,Netherlands,Argentina,Spanish,DATA_EXPIRED,DATA_EXPIRED
640d02e868bf147336ef93d7,f62573eb-c3bc-434a-9456-bb8c50f8bc17,APPROVED,2023-03-11T22:38:35.467000Z,2023-03-11T23:12:18.087000Z,2023-03-11T23:12:18.524000,2023-03-11T23:12:18.460217Z,2023,C18N4HK9,158,"English, Portuguese",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
640d02ee4c4fbba548ef9381,cd4bb209-8289-4f70-a3fe-e25134bfebd2,APPROVED,2023-03-11T22:38:45.258000Z,2023-03-11T22:55:04.795000Z,2023-03-13T08:52:57.744000,2023-03-11T22:55:05.159563Z,980,NOCODE,85,English,20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
640d02ef0a8f38cb03558909,02986d7c-8d3e-48b4-929e-e01de252bb37,APPROVED,2023-03-11T22:38:44.946000Z,2023-03-11T22:47:53.446000Z,2023-03-11T22:47:53.888000,2023-03-11T22:47:53.825177Z,549,C18N4HK9,101,"Afrikaans, English, Italian",21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
640d02eff66aca41b0db3c19,4d5699b5-b735-4b41-9a58-25d47dfbde61,APPROVED,2023-03-11T22:38:39.385000Z,2023-03-11T22:43:42.682000Z,2023-03-11T22:43:43.161000,2023-03-11T22:43:43.084615Z,304,C18N4HK9,203,"English, French, Portuguese, Spanish",22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
640d02fd26ada69002ccdda9,5ee3031a-2ed9-4b38-8d6d-5e360b4885e9,APPROVED,2023-03-11T22:39:37.961000Z,2023-03-11T23:01:28.922000Z,2023-03-11T23:01:29.468000,2023-03-11T23:01:29.404891Z,1311,C18N4HK9,124,English,37,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
640d0313fc261a437c4be61c,9b784ff3-e0f8-4cb8-a10c-23975147e37d,APPROVED,2023-03-11T22:39:15.070000Z,2023-03-11T23:02:34.854000Z,2023-03-11T23:02:35.268000,2023-03-11T23:02:35.195448Z,1400,C18N4HK9,126,"Portuguese, English, Spanish, French",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
